Id,Country,Medal,mixed,sumcount
1,Afghanistan,Bronze,AfghanistanBronze,1
2,Algeria,Bronze,AlgeriaBronze,16
2,Algeria,Gold,AlgeriaGold,6
2,Algeria,Silver,AlgeriaSilver,2
3,Argentina,Bronze,ArgentinaBronze,1560
3,Argentina,Silver,ArgentinaSilver,651
3,Argentina,Gold,ArgentinaGold,1076
4,Armenia,Gold,ArmeniaGold,1
4,Armenia,Silver,ArmeniaSilver,1
4,Armenia,Bronze,ArmeniaBronze,37
5,Australia,Bronze,AustraliaBronze,17934
5,Australia,Silver,AustraliaSilver,14086
5,Australia,Gold,AustraliaGold,8580
6,Austria,Bronze,AustriaBronze,12
6,Austria,Gold,AustriaGold,21
6,Austria,Silver,AustriaSilver,65
7,Azerbaijan,Silver,AzerbaijanSilver,5
7,Azerbaijan,Bronze,AzerbaijanBronze,33
7,Azerbaijan,Gold,AzerbaijanGold,6
8,Bahamas,Bronze,BahamasBronze,3
8,Bahamas,Silver,BahamasSilver,41
8,Bahamas,Gold,BahamasGold,37
9,Barbados,Bronze,BarbadosBronze,1
10,Belarus,Bronze,BelarusBronze,747
10,Belarus,Gold,BelarusGold,78
10,Belarus,Silver,BelarusSilver,161
11,Belgium,Bronze,BelgiumBronze,72
11,Belgium,Silver,BelgiumSilver,43
11,Belgium,Gold,BelgiumGold,8
12,Bermuda*,Bronze,Bermuda*Bronze,1
13,Brazil,Bronze,BrazilBronze,4033
13,Brazil,Gold,BrazilGold,732
13,Brazil,Silver,BrazilSilver,3527
14,Bulgaria,Bronze,BulgariaBronze,2507
14,Bulgaria,Gold,BulgariaGold,276
14,Bulgaria,Silver,BulgariaSilver,2712
15,Burundi,Gold,BurundiGold,1
16,Cameroon,Bronze,CameroonBronze,1
16,Cameroon,Gold,CameroonGold,326
17,Canada,Bronze,CanadaBronze,2245
17,Canada,Silver,CanadaSilver,2585
17,Canada,Gold,CanadaGold,1316
18,Chile,Silver,ChileSilver,2
18,Chile,Bronze,ChileBronze,325
